file_id,n_words,n_gap_candidates,n_scored,n_pred_fillers,max_prob,mean_prob
CCH16-ST1,263,44,44,0,0.337729,0.011856977272727274
CCH16-ST2,236,33,33,0,0.414527,0.031368393939393946
CCM35-ST1,222,41,41,2,0.959494,0.07157114634146342
CCM35-ST2,318,63,63,7,0.99659,0.11451022222222222
CCS09-ST1,177,43,43,0,0.308971,0.022626441860465116
CCS09-ST2,270,47,47,1,0.614973,0.02953272340425532
CCS45-ST1,198,47,47,3,0.896265,0.07026040425531915
CCS45-ST2,261,54,54,0,0.452092,0.03014764814814815
CCT15-ST1,378,76,76,1,0.515832,0.03321393421052631
CCT15-ST2,434,95,95,1,0.708656,0.023059000000000003
EAU18-ST1,235,33,33,0,0.244453,0.03328024242424242
EAU18-ST2,247,29,29,0,0.403133,0.031075999999999996
ENZ20-ST1,163,37,37,0,0.171776,0.016982135135135135
ENZ20-ST2,126,33,33,0,0.431228,0.05564833333333334
ENZ31-ST1,115,17,17,0,0.421947,0.028420470588235297
ENZ31-ST2,135,13,13,0,0.054664,0.01267523076923077
EUS11-ST1,173,29,29,0,0.381944,0.03409303448275862
EUS11-ST2,129,16,16,0,0.104945,0.018298625
EUS32-ST1,152,40,40,0,0.441869,0.068385275
EUS32-ST2,202,44,44,2,0.732015,0.1275524090909091
IID15-ST1,159,31,31,1,0.903563,0.0845856129032258
IID15-ST2,214,43,43,6,0.995524,0.1573983953488372
IID22-ST1,235,55,55,1,0.803849,0.021964690909090912
IID22-ST2,308,65,65,2,0.9785,0.0364434923076923
IID35-ST1,244,76,76,1,0.965471,0.02158580263157895
IID35-ST2,256,62,62,0,0.368299,0.009661483870967744
IID40-ST1,92,23,23,1,0.994808,0.05684982608695652
IID40-ST2,138,30,30,2,0.998963,0.08536566666666667
IID41-ST1,153,44,44,2,0.996727,0.04411013636363636
IID41-ST2,181,40,40,1,0.908725,0.024244349999999998
KKD19-ST1,185,25,25,0,0.23312,0.05334056
KKD19-ST2,263,48,48,0,0.439891,0.049290458333333335
KKD27-ST1,169,23,23,0,0.209068,0.01337504347826087
KKD27-ST2,180,25,25,0,0.238819,0.01065628
KKD46-ST1,244,48,48,1,0.767172,0.0517338125
KKD46-ST2,292,63,63,2,0.83552,0.08707650793650792
KKR24-ST1,170,38,38,2,0.664024,0.043545421052631574
KKR24-ST2,244,57,57,2,0.835792,0.0438338947368421
KKR40-ST1,186,36,36,2,0.781339,0.0658846388888889
KKR40-ST2,283,58,58,1,0.670173,0.019640051724137932
