file_id,gap_index,island_index,gap_start,gap_end,gap_duration,vad_occupancy,n_voiced_islands,island_duration,candidate_start,candidate_end,prob_filler,pred_filler,skip_reason
EUS11-ST2,1,0,3.44,3.59,0.15,1.0,1,0.15,3.44,3.59,2e-06,0,
EUS11-ST2,2,0,4.59,5.57,0.98,1.0,1,0.98,4.59,5.57,0.000709,0,
EUS11-ST2,5,0,17.59,18.52,0.93,1.0,1,0.93,17.59,18.52,0.000494,0,
EUS11-ST2,9,0,36.76,37.22,0.46,1.0,1,0.46,36.76,37.22,0.005729,0,
EUS11-ST2,15,0,62.82,63.03,0.21,1.0,1,0.21,62.82,63.03,1.5e-05,0,
EUS11-ST2,17,0,68.85,69.78,0.93,1.0,1,0.93,68.85,69.78,0.00302,0,
EUS11-ST2,19,0,74.25,74.92,0.67,1.0,1,0.67,74.25,74.92,0.104945,0,
EUS11-ST2,20,0,75.88,76.44,0.56,1.0,1,0.56,75.88,76.44,0.029738,0,
EUS11-ST2,23,0,88.64,89.74,1.1,1.0,1,1.1,88.64,89.74,0.001803,0,
EUS11-ST2,28,0,109.42,109.75,0.33,1.0,1,0.33,109.42,109.75,1.4e-05,0,
EUS11-ST2,31,0,114.99,115.46,0.47,1.0,1,0.47,114.99,115.46,0.010033,0,
EUS11-ST2,32,0,116.46,116.8,0.34,1.0,1,0.34,116.46,116.8,2.8e-05,0,
EUS11-ST2,34,0,123.59,124.55,0.96,1.0,1,0.96,123.59,124.55,0.082035,0,
EUS11-ST2,39,0,139.17,139.95,0.78,1.0,1,0.78,139.17,139.95,0.036313,0,
EUS11-ST2,44,0,156.31,157.19,0.88,1.0,1,0.88,156.31,157.19,0.001274,0,
EUS11-ST2,50,0,186.96,187.6,0.64,1.0,1,0.64,186.96,187.6,0.016626,0,
