file_id,gap_index,island_index,gap_start,gap_end,gap_duration,vad_occupancy,n_voiced_islands,island_duration,candidate_start,candidate_end,prob_filler,pred_filler,skip_reason
IID15-ST2,1,0,3.21,3.78,0.57,1.0,1,0.57,3.21,3.78,0.003495,0,
IID15-ST2,3,0,6.77,7.93,1.16,1.0,1,1.16,6.77,7.93,0.213877,0,
IID15-ST2,4,0,8.49,9.23,0.74,1.0,1,0.74,8.49,9.23,0.162941,0,
IID15-ST2,6,0,13.1,13.32,0.22,1.0,1,0.22,13.1,13.32,2.6e-05,0,
IID15-ST2,7,0,13.99,14.33,0.34,1.0,1,0.34,13.99,14.33,0.000959,0,
IID15-ST2,9,0,18.92,19.4,0.48,1.0,1,0.48,18.92,19.4,0.005294,0,
IID15-ST2,10,0,19.93,20.42,0.49,1.0,1,0.49,19.93,20.42,0.177816,0,
IID15-ST2,11,0,22.22,23.39,1.17,1.0,1,1.17,22.22,23.39,0.003384,0,
IID15-ST2,12,0,24.2,24.38,0.18,1.0,1,0.18,24.2,24.38,2.5e-05,0,
IID15-ST2,14,0,27.09,27.32,0.23,1.0,1,0.23,27.09,27.32,8.8e-05,0,
IID15-ST2,18,0,40.15,40.88,0.73,1.0,1,0.73,40.15,40.88,0.004009,0,
IID15-ST2,19,0,41.66,42.25,0.59,1.0,1,0.59,41.66,42.25,0.307063,0,
IID15-ST2,20,0,43.23,44.04,0.81,1.0,1,0.81,43.23,44.04,0.08254,0,
IID15-ST2,21,0,44.78,45.0,0.22,1.0,1,0.22,44.78,45.0,3.1e-05,0,
IID15-ST2,24,0,51.47,52.0,0.53,1.0,1,0.53,51.47,52.0,0.113255,0,
IID15-ST2,26,0,55.61,55.82,0.21,1.0,1,0.21,55.61,55.82,3.8e-05,0,
IID15-ST2,27,0,56.63,57.26,0.63,1.0,1,0.63,56.63,57.26,0.32039,0,
IID15-ST2,28,0,57.53,57.75,0.22,1.0,1,0.22,57.53,57.75,5e-06,0,
IID15-ST2,29,0,59.9,60.83,0.93,1.0,1,0.93,59.9,60.83,0.579347,1,
IID15-ST2,30,0,61.35,62.2,0.85,1.0,1,0.85,61.35,62.2,0.995524,1,
IID15-ST2,31,0,63.23,63.38,0.15,1.0,1,0.15,63.23,63.38,1e-05,0,
IID15-ST2,33,0,66.56,67.1,0.54,1.0,1,0.54,66.56,67.1,0.004615,0,
IID15-ST2,35,0,69.82,70.55,0.73,1.0,1,0.73,69.82,70.55,0.172696,0,
IID15-ST2,36,0,71.54,71.71,0.17,1.0,1,0.17,71.54,71.71,4e-06,0,
IID15-ST2,37,0,72.7,72.97,0.27,1.0,1,0.27,72.7,72.97,2.8e-05,0,
IID15-ST2,38,0,73.7,74.01,0.31,1.0,1,0.31,73.7,74.01,0.000474,0,
IID15-ST2,41,0,81.07,82.26,1.19,1.0,1,1.19,81.07,82.26,0.082815,0,
IID15-ST2,42,0,83.97,84.17,0.2,1.0,1,0.2,83.97,84.17,1.6e-05,0,
IID15-ST2,43,0,84.81,85.61,0.8,1.0,1,0.8,84.81,85.61,0.742247,1,
IID15-ST2,44,0,86.17,86.78,0.61,1.0,1,0.61,86.17,86.78,0.989459,1,
IID15-ST2,45,0,87.47,87.71,0.24,1.0,1,0.24,87.47,87.71,3.1e-05,0,
IID15-ST2,46,0,88.1,88.45,0.35,1.0,1,0.35,88.1,88.45,3.3e-05,0,
IID15-ST2,47,0,89.31,89.73,0.42,1.0,1,0.42,89.31,89.73,0.001472,0,
IID15-ST2,48,0,90.26,90.81,0.55,1.0,1,0.55,90.26,90.81,0.005064,0,
IID15-ST2,49,0,92.71,93.58,0.87,1.0,1,0.87,92.71,93.58,0.041455,0,
IID15-ST2,51,0,99.37,100.16,0.79,1.0,1,0.79,99.37,100.16,0.593272,1,
IID15-ST2,52,0,101.95,102.91,0.96,1.0,1,0.96,101.95,102.91,0.976662,1,
IID15-ST2,54,0,105.76,106.81,1.05,1.0,1,1.05,105.76,106.81,0.145566,0,
IID15-ST2,55,0,108.08,108.35,0.27,1.0,1,0.27,108.08,108.35,1.1e-05,0,
IID15-ST2,56,0,108.71,109.2,0.49,1.0,1,0.49,108.71,109.2,0.022356,0,
IID15-ST2,57,0,110.79,110.92,0.13,1.0,1,0.13,110.79,110.92,3e-06,0,
IID15-ST2,58,0,114.29,115.36,1.07,1.0,1,1.07,114.29,115.36,0.019499,0,
IID15-ST2,59,0,115.47,115.9589,0.4889,1.0,1,0.4889,115.47,115.9589,0.000236,0,
