subset,measure,d_r_clf_vs_vad,d_icc_clf_vs_vad,d_mae_clf_vs_vad,d_r_clf_vs_base,d_icc_clf_vs_base,d_mae_clf_vs_base
Overall,AR,0.169,0.146,-0.2037,-0.01,0.041,-0.0766
Overall,SR,0.0,0.0,0.0,0.0,0.0,0.0
Overall,MLR,0.0,0.0,0.0,0.0,0.0,0.0
Overall,MCPR,0.0,-0.001,0.0001,-0.002,-0.004,0.0005
Overall,ECPR,0.031,0.021,-0.0012,-0.028,-0.046,0.0032
Overall,PR,0.01,0.007,-0.0007,-0.008,-0.015,0.0039
Overall,MCPD,-0.003,0.002,-0.0088,-0.006,0.016,-0.0241
Overall,ECPD,0.142,0.158,-0.1488,-0.042,0.013,-0.0206
Overall,MPD,0.102,0.098,-0.0914,-0.025,0.026,-0.0457
ST1,AR,0.131,0.111,-0.1976,0.007,0.061,-0.1188
ST1,SR,0.0,0.0,0.0,0.0,0.0,0.0
ST1,MLR,0.0,0.0,0.0,0.0,0.0,0.0
ST1,MCPR,-0.001,-0.002,0.0002,-0.003,-0.005,0.0004
ST1,ECPR,0.051,0.034,-0.0007,-0.051,-0.061,0.0037
ST1,PR,0.007,0.002,0.0007,-0.006,-0.015,0.0038
ST1,MCPD,-0.005,0.011,-0.0135,-0.008,0.013,-0.0187
ST1,ECPD,0.205,0.215,-0.1769,-0.021,0.04,-0.0316
ST1,MPD,0.137,0.132,-0.0998,-0.023,0.031,-0.0479
ST2,AR,0.214,0.193,-0.2099,-0.028,0.018,-0.0346
ST2,SR,0.0,0.0,0.0,0.0,0.0,0.0
ST2,MLR,0.0,0.0,0.0,0.0,0.0,0.0
ST2,MCPR,0.001,0.0,0.0,-0.001,-0.003,0.0007
ST2,ECPR,0.02,0.018,-0.0017,-0.014,-0.031,0.0028
ST2,PR,0.012,0.01,-0.0022,-0.01,-0.015,0.0038
ST2,MCPD,-0.003,-0.004,-0.0042,-0.006,0.016,-0.0295
ST2,ECPD,0.088,0.104,-0.1207,-0.066,-0.016,-0.0095
ST2,MPD,0.074,0.068,-0.0832,-0.025,0.022,-0.0438
