AR,SR,MLR,MCPR,ECPR,PR,MCPD,ECPD,MPD,total_mora,total_duration,phonation_time,n_pauses,n_mid_clause_pauses,n_end_clause_pauses,n_clauses,clf_pause_candidates,clf_pauses_split,clf_vad_islands_detected,clf_islands_scored,clf_predicted_speech_islands,clf_fallback_vad_islands_used,clf_refined_pause_count,file
5.493,3.222,8.53,0.0574,0.0748,0.1322,0.814,1.091,0.971,401,124.45,73.0,53,23,30,25,48,5,57,16,9,7,53,CCH16-ST1.TextGrid
5.321,3.131,8.74,0.0505,0.0808,0.1313,0.707,1.185,1.001,297,94.86,55.81,39,15,24,23,35,3,42,14,5,2,39,CCH16-ST2.TextGrid
4.292,2.732,8.37,0.0377,0.0975,0.1352,0.644,1.115,0.984,318,116.39,74.09,43,12,31,22,39,3,58,24,6,1,43,CCM35-ST1.TextGrid
4.156,3.016,9.17,0.0523,0.0659,0.1182,0.609,0.897,0.77,440,145.91,105.88,52,23,29,28,49,4,64,20,7,0,52,CCM35-ST2.TextGrid
5.198,3.348,8.7,0.0523,0.0627,0.115,0.657,1.147,0.924,287,85.72,55.21,33,15,18,12,33,1,38,6,1,1,33,CCS09-ST1.TextGrid
4.686,3.149,10.16,0.0431,0.0646,0.1077,0.453,1.311,0.967,325,103.21,69.35,35,14,21,19,33,1,40,12,2,0,35,CCS09-ST2.TextGrid
4.544,2.186,5.54,0.0799,0.1111,0.191,0.891,1.495,1.243,288,131.72,63.38,55,23,32,16,52,7,70,32,9,6,55,CCS45-ST1.TextGrid
4.348,2.032,4.56,0.1141,0.1231,0.2372,0.79,1.398,1.105,333,163.91,76.59,79,38,41,29,74,9,88,33,15,11,79,CCS45-ST2.TextGrid
5.302,3.475,9.23,0.0614,0.0505,0.1119,0.476,1.385,0.886,554,159.44,104.49,62,34,28,35,61,2,70,13,2,1,62,CCT15-ST1.TextGrid
5.346,3.664,8.73,0.0691,0.0471,0.1162,0.5,1.089,0.739,637,173.84,119.16,74,44,30,37,74,0,76,0,0,0,74,CCT15-ST2.TextGrid
5.271,2.79,9.44,0.0516,0.0625,0.1141,0.899,1.957,1.478,368,131.91,69.81,42,19,23,24,40,4,52,18,5,3,42,EAU18-ST1.TextGrid
4.957,2.494,7.7,0.0593,0.0847,0.1441,1.227,1.493,1.383,354,141.95,71.41,51,21,30,22,47,4,59,13,6,3,51,EAU18-ST2.TextGrid
4.783,2.565,6.74,0.0873,0.083,0.1703,0.616,1.53,1.062,229,89.28,47.88,39,20,19,16,35,4,42,12,7,3,39,ENZ20-ST1.TextGrid
4.177,1.877,4.82,0.1259,0.1111,0.237,0.681,1.869,1.238,135,71.93,32.32,32,17,15,13,29,1,40,12,3,0,32,ENZ20-ST2.TextGrid
5.875,2.378,8.27,0.0604,0.0659,0.1264,0.828,3.037,1.981,182,76.54,30.98,23,11,12,13,23,0,23,0,0,0,23,ENZ31-ST1.TextGrid
