AR,SR,MLR,MCPR,ECPR,PR,MCPD,ECPD,MPD,total_mora,total_duration,phonation_time,n_pauses,n_mid_clause_pauses,n_end_clause_pauses,n_clauses,clf_pause_candidates,clf_pauses_split,clf_vad_islands_detected,clf_islands_scored,clf_predicted_speech_islands,clf_fallback_vad_islands_used,clf_refined_pause_count,file
5.835,3.222,8.53,0.0574,0.0648,0.1222,0.814,1.423,1.137,401,124.45,68.73,49,23,26,25,48,4,57,16,5,3,49,CCH16-ST1.TextGrid
5.915,3.131,8.74,0.0505,0.0741,0.1246,0.707,1.547,1.207,297,94.86,50.21,37,15,22,23,35,4,42,14,4,1,37,CCH16-ST2.TextGrid
4.55,2.732,8.37,0.0346,0.0975,0.1321,0.687,1.256,1.107,318,116.39,69.9,42,11,31,22,39,3,58,24,5,0,42,CCM35-ST1.TextGrid
4.285,3.016,9.17,0.0523,0.0636,0.1159,0.602,1.049,0.848,440,145.91,102.68,51,23,28,28,49,5,64,20,6,0,51,CCM35-ST2.TextGrid
5.212,3.348,8.7,0.0523,0.0662,0.1185,0.657,1.094,0.901,287,85.72,55.07,34,15,19,12,33,1,38,6,1,0,34,CCS09-ST1.TextGrid
4.769,3.149,10.16,0.0431,0.0646,0.1077,0.453,1.368,1.002,325,103.21,68.15,35,14,21,19,33,1,40,12,2,0,35,CCS09-ST2.TextGrid
4.453,2.186,5.54,0.0799,0.1146,0.1944,0.879,1.419,1.197,288,131.72,64.67,56,23,33,16,52,11,70,32,14,4,56,CCS45-ST1.TextGrid
4.762,2.032,4.56,0.1111,0.1111,0.2222,0.805,1.735,1.27,333,163.91,69.92,74,37,37,29,74,11,88,33,11,4,74,CCS45-ST2.TextGrid
5.299,3.475,9.23,0.0614,0.0505,0.1119,0.476,1.383,0.885,554,159.44,104.56,62,34,28,35,61,2,70,13,2,1,62,CCT15-ST1.TextGrid
5.346,3.664,8.73,0.0691,0.0471,0.1162,0.5,1.089,0.739,637,173.84,119.16,74,44,30,37,74,0,76,0,0,0,74,CCT15-ST2.TextGrid
5.261,2.79,9.44,0.0516,0.0598,0.1114,0.899,2.04,1.511,368,131.91,69.95,41,19,22,24,40,5,52,18,6,2,41,EAU18-ST1.TextGrid
5.34,2.494,7.7,0.0593,0.0819,0.1412,1.227,1.721,1.513,354,141.95,66.29,50,21,29,22,47,4,59,13,5,5,50,EAU18-ST2.TextGrid
5.053,2.565,6.74,0.0873,0.0742,0.1616,0.616,1.861,1.188,229,89.28,45.32,37,20,17,16,35,5,42,12,6,0,37,ENZ20-ST1.TextGrid
4.453,1.877,4.82,0.1259,0.1111,0.237,0.681,2.003,1.3,135,71.93,30.32,32,17,15,13,29,1,40,12,3,0,32,ENZ20-ST2.TextGrid
5.875,2.378,8.27,0.0604,0.0659,0.1264,0.828,3.037,1.981,182,76.54,30.98,23,11,12,13,23,0,23,0,0,0,23,ENZ31-ST1.TextGrid
5.478,2.63,10.18,0.0289,0.0751,0.104,0.51,2.434,1.9,173,65.77,31.58,18,5,13,14,18,0,18,0,0,0,18,ENZ31-ST2.TextGrid
