AR,SR,MLR,MCPR,ECPR,PR,MCPD,ECPD,MPD,total_mora,total_duration,phonation_time,n_pauses,n_mid_clause_pauses,n_end_clause_pauses,n_clauses,clf_pause_candidates,clf_pauses_split,clf_vad_islands_detected,clf_islands_scored,clf_predicted_speech_islands,clf_fallback_vad_islands_used,clf_refined_pause_count,file
5.6,3.222,8.53,0.0574,0.0673,0.1247,0.821,1.258,1.057,401,124.45,71.61,50,23,27,25,48,1,57,16,2,0,50,CCH16-ST1.TextGrid
5.734,3.131,8.74,0.0471,0.0741,0.1212,0.77,1.467,1.196,297,94.86,51.8,36,14,22,23,35,1,42,14,1,0,36,CCH16-ST2.TextGrid
4.402,2.732,8.37,0.0346,0.0943,0.1289,0.717,1.209,1.077,318,116.39,72.23,41,11,30,22,39,2,58,24,4,0,41,CCM35-ST1.TextGrid
4.239,3.016,9.17,0.0523,0.0659,0.1182,0.64,0.945,0.81,440,145.91,103.79,52,23,29,28,49,3,64,20,5,0,52,CCM35-ST2.TextGrid
5.24,3.348,8.7,0.0523,0.0627,0.115,0.657,1.172,0.938,287,85.72,54.77,33,15,18,12,33,0,38,6,0,0,33,CCS09-ST1.TextGrid
4.686,3.149,10.16,0.0431,0.0646,0.1077,0.453,1.311,0.967,325,103.21,69.35,35,14,21,19,33,1,40,12,2,0,35,CCS09-ST2.TextGrid
4.701,2.186,5.54,0.0799,0.1042,0.184,0.891,1.665,1.33,288,131.72,61.26,53,23,30,16,52,2,70,32,2,0,53,CCS45-ST1.TextGrid
4.486,2.032,4.56,0.1111,0.1231,0.2342,0.854,1.417,1.15,333,163.91,74.23,78,37,41,29,74,1,88,33,4,0,78,CCS45-ST2.TextGrid
5.348,3.475,9.23,0.0614,0.0487,0.1101,0.48,1.464,0.916,554,159.44,103.59,61,34,27,35,61,0,70,13,0,0,61,CCT15-ST1.TextGrid
5.346,3.664,8.73,0.0691,0.0471,0.1162,0.5,1.089,0.739,637,173.84,119.16,74,44,30,37,74,0,76,0,0,0,74,CCT15-ST2.TextGrid
5.415,2.79,9.44,0.0516,0.0598,0.1114,0.908,2.122,1.56,368,131.91,67.96,41,19,22,24,40,1,52,18,1,0,41,EAU18-ST1.TextGrid
5.42,2.494,7.7,0.0565,0.0763,0.1328,1.3,1.876,1.631,354,141.95,65.31,47,20,27,22,47,0,59,13,0,0,47,EAU18-ST2.TextGrid
5.082,2.565,6.74,0.0873,0.0742,0.1616,0.65,1.836,1.195,229,89.28,45.06,37,20,17,16,35,1,42,12,2,0,37,ENZ20-ST1.TextGrid
4.628,1.877,4.82,0.1259,0.0963,0.2222,0.681,2.399,1.425,135,71.93,29.17,30,17,13,13,29,1,40,12,1,0,30,ENZ20-ST2.TextGrid
5.875,2.378,8.27,0.0604,0.0659,0.1264,0.828,3.037,1.981,182,76.54,30.98,23,11,12,13,23,0,23,0,0,0,23,ENZ31-ST1.TextGrid
5.478,2.63,10.18,0.0289,0.0751,0.104,0.51,2.434,1.9,173,65.77,31.58,18,5,13,14,18,0,18,0,0,0,18,ENZ31-ST2.TextGrid
3.872,1.217,5.24,0.0883,0.106,0.1943,1.847,3.779,2.901,283,232.63,73.08,55,25,30,18,55,0,57,0,0,0,55,EUS11-ST1.TextGrid
3.325,0.959,4.0,0.163,0.0978,0.2609,2.657,3.151,2.842,184,191.77,55.34,48,30,18,13,47,1,52,6,1,0,48,EUS11-ST2.TextGrid
4.172,2.152,5.23,0.113,0.087,0.2,0.795,1.554,1.125,230,106.88,55.12,46,26,20,17,44,2,51,18,5,0,46,EUS32-ST1.TextGrid
4.166,1.908,4.73,0.1056,0.1232,0.2289,1.137,1.33,1.241,284,148.82,68.17,65,30,35,21,61,1,68,18,4,0,65,EUS32-ST2.TextGrid
4.564,2.253,6.62,0.1067,0.0578,0.1644,0.913,2.204,1.367,225,99.87,49.3,37,24,13,12,35,1,41,8,2,0,37,IID15-ST1.TextGrid
4.87,2.596,7.0,0.0731,0.0797,0.1528,0.93,1.404,1.177,301,115.96,61.81,46,22,24,17,44,2,50,8,3,0,46,IID15-ST2.TextGrid
5.644,3.422,8.88,0.0535,0.0648,0.1183,0.474,1.385,0.973,355,103.75,62.89,42,19,23,17,41,1,49,9,1,0,42,IID22-ST1.TextGrid
5.158,3.169,6.85,0.0612,0.0871,0.1482,0.753,0.868,0.821,425,134.1,82.39,63,26,37,21,62,3,69,11,4,0,63,IID22-ST2.TextGrid
4.231,1.783,4.22,0.1337,0.1114,0.2451,0.977,1.74,1.324,359,201.31,84.84,88,48,40,21,86,1,101,17,3,0,88,IID35-ST1.TextGrid
4.736,1.815,4.69,0.108,0.1108,0.2188,1.431,1.673,1.553,361,198.94,76.23,79,39,40,16,78,1,89,7,1,0,79,IID35-ST2.TextGrid
4.06,2.017,6.2,0.0806,0.0887,0.1694,0.631,2.24,1.474,124,61.49,30.54,21,10,11,9,21,0,29,9,0,0,21,IID40-ST1.TextGrid
4.272,2.649,8.04,0.0757,0.0595,0.1351,0.644,1.592,1.061,185,69.84,43.3,25,14,11,11,24,1,28,6,1,0,25,IID40-ST2.TextGrid
4.549,1.618,4.22,0.1406,0.1004,0.241,1.403,2.001,1.652,249,153.86,54.74,60,35,25,10,60,1,64,4,1,0,60,IID41-ST1.TextGrid
4.376,1.487,4.11,0.0812,0.1667,0.2479,1.444,1.961,1.792,234,157.39,53.47,58,19,39,13,58,0,58,0,0,0,58,IID41-ST2.TextGrid
4.841,1.756,5.55,0.0919,0.1066,0.1985,1.583,2.038,1.827,272,154.87,56.19,54,25,29,13,49,4,71,39,7,0,54,KKD19-ST1.TextGrid
4.372,1.808,4.74,0.1083,0.114,0.2222,1.339,1.575,1.46,351,194.18,80.29,78,38,40,28,74,7,93,44,9,0,78,KKD19-ST2.TextGrid
5.82,3.924,17.07,0.0312,0.0391,0.0703,0.518,1.71,1.18,256,65.23,43.99,18,8,10,18,16,1,21,7,2,0,18,KKD27-ST1.TextGrid
6.285,4.06,14.62,0.0299,0.047,0.0769,0.316,1.654,1.133,234,57.64,37.23,18,7,11,10,17,1,26,12,1,0,18,KKD27-ST2.TextGrid
4.596,2.216,5.44,0.0934,0.0994,0.1928,0.756,1.64,1.212,332,149.8,72.23,64,31,33,30,62,4,82,28,5,0,64,KKD46-ST1.TextGrid
4.739,2.422,5.81,0.0823,0.0948,0.1771,0.783,1.451,1.14,401,165.57,84.61,71,33,38,32,70,1,88,28,1,0,71,KKD46-ST2.TextGrid
6.145,2.955,7.2,0.0873,0.0595,0.1468,0.712,1.907,1.197,252,85.28,41.01,37,22,15,17,36,2,46,16,2,0,37,KKR24-ST1.TextGrid
5.487,3.178,7.18,0.0728,0.0759,0.1487,0.683,1.089,0.89,316,99.43,57.59,47,23,24,23,45,1,54,19,2,0,47,KKR24-ST2.TextGrid
5.617,3.373,10.74,0.031,0.0655,0.0966,0.456,1.591,1.226,290,85.97,51.63,28,9,19,19,28,0,37,18,0,0,28,KKR40-ST1.TextGrid
4.939,3.101,7.14,0.0825,0.07,0.1525,0.768,0.809,0.787,400,128.99,80.99,61,33,28,29,57,3,70,22,5,0,61,KKR40-ST2.TextGrid
