subset,measure,pearson_r_base,pearson_r_neural,delta_pearson_r,icc_2_1_base,icc_2_1_neural,delta_icc_2_1,mae_base,mae_neural,delta_mae
Overall,AR,0.952,0.904,-0.04799999999999993,0.877,0.89,0.013000000000000012,0.2964,0.2598,-0.03660000000000002
Overall,SR,0.992,0.992,0.0,0.982,0.982,0.0,0.1161,0.1161,0.0
Overall,MLR,0.991,0.991,0.0,0.975,0.975,0.0,0.46,0.46,0.0
Overall,MCPR,0.915,0.918,0.0030000000000000027,0.915,0.916,0.0010000000000000009,0.0094,0.0097,0.0002999999999999999
Overall,ECPR,0.891,0.885,-0.006000000000000005,0.888,0.849,-0.039000000000000035,0.0086,0.0124,0.0037999999999999996
Overall,PR,0.99,0.982,-0.008000000000000007,0.984,0.964,-0.020000000000000018,0.0074,0.0127,0.005299999999999999
Overall,MCPD,0.955,0.948,-0.007000000000000006,0.878,0.892,0.014000000000000012,0.1518,0.1308,-0.02099999999999999
Overall,ECPD,0.944,0.878,-0.06599999999999995,0.89,0.858,-0.03200000000000003,0.2228,0.2686,0.04580000000000001
Overall,MPD,0.953,0.91,-0.04299999999999993,0.89,0.908,0.018000000000000016,0.175,0.1357,-0.0393
ST1,AR,0.964,0.938,-0.026000000000000023,0.896,0.927,0.031000000000000028,0.2895,0.227,-0.06249999999999997
ST1,SR,0.993,0.993,0.0,0.986,0.986,0.0,0.1007,0.1007,0.0
ST1,MLR,0.997,0.997,0.0,0.988,0.988,0.0,0.348,0.348,0.0
ST1,MCPR,0.902,0.905,0.0030000000000000027,0.901,0.903,0.0020000000000000018,0.0097,0.0099,0.00020000000000000052
ST1,ECPR,0.85,0.823,-0.027000000000000024,0.844,0.791,-0.052999999999999936,0.0092,0.0127,0.0034999999999999996
ST1,PR,0.993,0.987,-0.006000000000000005,0.99,0.971,-0.019000000000000017,0.0055,0.0107,0.0052
ST1,MCPD,0.96,0.951,-0.009000000000000008,0.881,0.889,0.008000000000000007,0.1298,0.1135,-0.016299999999999995
ST1,ECPD,0.93,0.888,-0.04200000000000004,0.868,0.87,0.0020000000000000018,0.2442,0.2599,0.01570000000000002
ST1,MPD,0.961,0.916,-0.04499999999999993,0.9,0.912,0.01200000000000001,0.1629,0.1367,-0.0262
ST2,AR,0.941,0.87,-0.07099999999999995,0.861,0.855,-0.006000000000000005,0.3034,0.2926,-0.010799999999999976
ST2,SR,0.993,0.993,0.0,0.979,0.979,0.0,0.1315,0.1315,0.0
ST2,MLR,0.986,0.986,0.0,0.961,0.961,0.0,0.572,0.572,0.0
ST2,MCPR,0.927,0.928,0.0010000000000000009,0.93,0.93,0.0,0.009,0.0095,0.0005000000000000004
ST2,ECPR,0.916,0.921,0.0050000000000000044,0.915,0.886,-0.029000000000000026,0.0079,0.0122,0.0043
ST2,PR,0.988,0.978,-0.010000000000000009,0.98,0.961,-0.019000000000000017,0.0094,0.0146,0.0052
ST2,MCPD,0.953,0.946,-0.007000000000000006,0.881,0.896,0.015000000000000013,0.1738,0.148,-0.025800000000000017
ST2,ECPD,0.953,0.854,-0.09899999999999998,0.908,0.83,-0.07800000000000007,0.2013,0.2774,0.07609999999999997
ST2,MPD,0.945,0.903,-0.041999999999999926,0.884,0.906,0.02200000000000002,0.1872,0.1348,-0.0524
