AR,SR,MLR,MCPR,ECPR,PR,MCPD,ECPD,MPD,total_mora,total_duration,phonation_time,n_pauses,n_mid_clause_pauses,n_end_clause_pauses,n_clauses,clf_pause_candidates,clf_pauses_split,clf_vad_islands_detected,clf_islands_scored,clf_predicted_speech_islands,clf_fallback_vad_islands_used,clf_refined_pause_count,file
5.646,3.222,8.53,0.0574,0.0698,0.1272,0.792,1.258,1.048,401,124.45,71.02,51,23,28,25,48,6,57,16,11,2,51,CCH16-ST1.TextGrid
5.636,3.131,8.74,0.0471,0.0774,0.1246,0.634,1.447,1.14,297,94.86,52.7,37,14,23,23,35,4,42,14,7,2,37,CCH16-ST2.TextGrid
4.418,2.732,8.37,0.0346,0.1006,0.1352,0.658,1.162,1.033,318,116.39,71.98,43,11,32,22,39,4,58,24,9,1,43,CCM35-ST1.TextGrid
4.145,3.016,9.17,0.0523,0.0659,0.1182,0.571,0.918,0.765,440,145.91,106.15,52,23,29,28,49,4,64,20,9,0,52,CCM35-ST2.TextGrid
5.092,3.348,8.7,0.0523,0.0697,0.122,0.657,0.974,0.839,287,85.72,56.37,35,15,20,12,33,1,38,6,3,0,35,CCS09-ST1.TextGrid
4.673,3.149,10.16,0.0431,0.0708,0.1138,0.423,1.206,0.91,325,103.21,69.54,37,14,23,19,33,3,40,12,6,3,37,CCS09-ST2.TextGrid
4.25,2.186,5.54,0.0799,0.125,0.2049,0.831,1.246,1.084,288,131.72,67.76,59,23,36,16,52,15,70,32,22,8,59,CCS45-ST1.TextGrid
4.291,2.032,4.56,0.1141,0.1171,0.2312,0.767,1.466,1.121,333,163.91,77.61,77,38,39,29,74,14,88,33,19,4,77,CCS45-ST2.TextGrid
5.098,3.475,9.23,0.0614,0.0523,0.1137,0.472,1.197,0.806,554,159.44,108.67,63,34,29,35,61,2,70,13,5,4,63,CCT15-ST1.TextGrid
5.346,3.664,8.73,0.0691,0.0471,0.1162,0.5,1.089,0.739,637,173.84,119.16,74,44,30,37,74,0,76,0,0,0,74,CCT15-ST2.TextGrid
5.19,2.79,9.44,0.0516,0.0679,0.1196,0.882,1.77,1.386,368,131.91,70.91,44,19,25,24,40,6,52,18,10,3,44,EAU18-ST1.TextGrid
5.167,2.494,7.7,0.0621,0.0847,0.1469,1.159,1.598,1.412,354,141.95,68.51,52,22,30,22,47,4,59,13,7,2,52,EAU18-ST2.TextGrid
