threshold,fallback_max_island_dur,overall_r,overall_icc,overall_mae,st1_r,st1_icc,st1_mae,st2_r,st2_icc,st2_mae,pauses_split_total,pred_islands_total,fallback_islands_total
0.2,0.25,0.949,0.894,0.1277,0.952,0.894,0.1111,0.947,0.897,0.1443,158,198,56
0.3,0.25,0.949,0.892,0.1313,0.953,0.893,0.1129,0.948,0.895,0.1496,141,164,77
0.4,0.25,0.949,0.89,0.1336,0.953,0.888,0.117,0.948,0.895,0.1501,128,159,96
0.5,0.25,0.949,0.89,0.1337,0.953,0.888,0.117,0.948,0.895,0.1504,123,158,107
0.1,0.25,0.946,0.898,0.121,0.949,0.9,0.1028,0.945,0.899,0.1391,172,289,20
0.4,0.35,0.946,0.897,0.1233,0.946,0.893,0.1087,0.945,0.903,0.1379,166,224,164
0.5,0.35,0.946,0.897,0.1233,0.946,0.893,0.1087,0.945,0.903,0.1379,164,229,181
0.2,0.35,0.945,0.898,0.1207,0.945,0.895,0.1065,0.944,0.903,0.1349,181,237,96
0.3,0.35,0.945,0.898,0.1224,0.945,0.894,0.1069,0.945,0.903,0.1379,175,220,134
0.4,0.45,0.943,0.9,0.1193,0.94,0.892,0.1072,0.943,0.907,0.1314,181,272,223
0.5,0.45,0.943,0.9,0.1193,0.94,0.892,0.1072,0.943,0.907,0.1314,179,280,243
0.1,0.35,0.943,0.898,0.1189,0.945,0.901,0.1006,0.943,0.9,0.1372,187,307,39
0.3,0.45,0.942,0.9,0.1184,0.94,0.893,0.1055,0.943,0.907,0.1314,187,255,180
0.2,0.45,0.942,0.9,0.1193,0.94,0.894,0.105,0.943,0.906,0.1336,192,264,130
0.1,0.45,0.941,0.897,0.119,0.943,0.901,0.1004,0.941,0.899,0.1377,192,313,49
0.1,0.55,0.94,0.897,0.1185,0.938,0.9,0.0994,0.941,0.899,0.1377,194,322,62
0.2,0.55,0.938,0.899,0.1206,0.932,0.891,0.1051,0.94,0.906,0.1361,195,283,154
0.4,0.55,0.938,0.898,0.1209,0.933,0.89,0.107,0.939,0.905,0.1348,186,304,263
0.5,0.55,0.938,0.898,0.1209,0.933,0.89,0.107,0.939,0.905,0.1348,183,311,286
0.3,0.55,0.937,0.898,0.1202,0.932,0.89,0.1056,0.939,0.905,0.1348,190,278,211
