AR,SR,MLR,MCPR,ECPR,PR,MCPD,ECPD,MPD,total_mora,total_duration,phonation_time,n_pauses,n_mid_clause_pauses,n_end_clause_pauses,n_clauses,vad_pause_candidates,vad_pauses_split,vad_speech_islands,vad_refined_pause_count,file,audio_path
5.947,3.222,8.53,0.0574,0.0623,0.1197,0.821,1.525,1.188,401,124.45,67.43,48,23,25,25,48,0,0,48,CCH16-ST1.TextGrid,ja\data\dataset_l1_focus20\audio\CCH16-ST1.mp3
5.012,3.131,8.74,0.0471,0.0842,0.1313,0.744,1.008,0.913,297,94.86,59.25,39,14,25,23,35,2,8,39,CCH16-ST2.TextGrid,ja\data\dataset_l1_focus20\audio\CCH16-ST2.mp3
3.935,2.732,8.37,0.0346,0.0943,0.1289,0.717,0.923,0.868,318,116.39,80.81,41,11,30,22,39,2,13,41,CCM35-ST1.TextGrid,ja\data\dataset_l1_focus20\audio\CCM35-ST1.mp3
4.414,3.016,9.17,0.0523,0.0591,0.1114,0.64,1.211,0.943,440,145.91,99.69,49,23,26,28,49,0,0,49,CCM35-ST2.TextGrid,ja\data\dataset_l1_focus20\audio\CCM35-ST2.mp3
5.24,3.348,8.7,0.0523,0.0627,0.115,0.657,1.172,0.938,287,85.72,54.77,33,15,18,12,33,0,0,33,CCS09-ST1.TextGrid,ja\data\dataset_l1_focus20\audio\CCS09-ST1.mp3
4.962,3.149,10.16,0.0431,0.0585,0.1015,0.453,1.651,1.143,325,103.21,65.5,33,14,19,19,33,0,0,33,CCS09-ST2.TextGrid,ja\data\dataset_l1_focus20\audio\CCS09-ST2.mp3
4.046,2.186,5.54,0.0799,0.1215,0.2014,0.926,1.121,1.044,288,131.72,71.19,58,23,35,16,52,2,8,58,CCS45-ST1.TextGrid,ja\data\dataset_l1_focus20\audio\CCS45-ST1.mp3
4.08,2.032,4.56,0.1111,0.1261,0.2372,0.845,1.215,1.042,333,163.91,81.62,79,37,42,29,74,5,15,79,CCS45-ST2.TextGrid,ja\data\dataset_l1_focus20\audio\CCS45-ST2.mp3
5.348,3.475,9.23,0.0614,0.0487,0.1101,0.48,1.464,0.916,554,159.44,103.59,61,34,27,35,61,0,0,61,CCT15-ST1.TextGrid,ja\data\dataset_l1_focus20\audio\CCT15-ST1.mp3
5.346,3.664,8.73,0.0691,0.0471,0.1162,0.5,1.089,0.739,637,173.84,119.16,74,44,30,37,74,0,0,74,CCT15-ST2.TextGrid,ja\data\dataset_l1_focus20\audio\CCT15-ST2.mp3
5.577,2.79,9.44,0.0516,0.0571,0.1087,0.908,2.318,1.648,368,131.91,65.98,40,19,21,24,40,0,0,40,EAU18-ST1.TextGrid,ja\data\dataset_l1_focus20\audio\EAU18-ST1.mp3
5.42,2.494,7.7,0.0565,0.0763,0.1328,1.3,1.876,1.631,354,141.95,65.31,47,20,27,22,47,0,0,47,EAU18-ST2.TextGrid,ja\data\dataset_l1_focus20\audio\EAU18-ST2.mp3
5.412,2.565,6.74,0.0873,0.0655,0.1528,0.65,2.265,1.342,229,89.28,42.31,35,20,15,16,35,0,0,35,ENZ20-ST1.TextGrid,ja\data\dataset_l1_focus20\audio\ENZ20-ST1.mp3
4.767,1.877,4.82,0.1259,0.0889,0.2148,0.681,2.67,1.504,135,71.93,28.32,29,17,12,13,29,0,0,29,ENZ20-ST2.TextGrid,ja\data\dataset_l1_focus20\audio\ENZ20-ST2.mp3
5.875,2.378,8.27,0.0604,0.0659,0.1264,0.828,3.037,1.981,182,76.54,30.98,23,11,12,13,23,0,0,23,ENZ31-ST1.TextGrid,ja\data\dataset_l1_focus20\audio\ENZ31-ST1.mp3
5.478,2.63,10.18,0.0289,0.0751,0.104,0.51,2.434,1.9,173,65.77,31.58,18,5,13,14,18,0,0,18,ENZ31-ST2.TextGrid,ja\data\dataset_l1_focus20\audio\ENZ31-ST2.mp3
3.872,1.217,5.24,0.0883,0.106,0.1943,1.847,3.779,2.901,283,232.63,73.08,55,25,30,18,55,0,0,55,EUS11-ST1.TextGrid,ja\data\dataset_l1_focus20\audio\EUS11-ST1.mp3
3.578,0.959,4.0,0.163,0.0924,0.2554,2.657,3.567,2.986,184,191.77,51.42,47,30,17,13,47,0,0,47,EUS11-ST2.TextGrid,ja\data\dataset_l1_focus20\audio\EUS11-ST2.mp3
4.533,2.152,5.23,0.113,0.0783,0.1913,0.773,2.002,1.276,230,106.88,50.74,44,26,18,17,44,1,1,44,EUS32-ST1.TextGrid,ja\data\dataset_l1_focus20\audio\EUS32-ST1.mp3
3.863,1.908,4.73,0.1056,0.1373,0.243,1.137,1.056,1.091,284,148.82,73.52,69,30,39,21,61,1,10,69,EUS32-ST2.TextGrid,ja\data\dataset_l1_focus20\audio\EUS32-ST2.mp3
4.997,2.253,6.62,0.1067,0.0489,0.1556,0.913,2.993,1.567,225,99.87,45.03,35,24,11,12,35,0,0,35,IID15-ST1.TextGrid,ja\data\dataset_l1_focus20\audio\IID15-ST1.mp3
5.144,2.596,7.0,0.0731,0.0731,0.1462,0.93,1.681,1.306,301,115.96,58.51,44,22,22,17,44,0,0,44,IID15-ST2.TextGrid,ja\data\dataset_l1_focus20\audio\IID15-ST2.mp3
5.875,3.422,8.88,0.0535,0.062,0.1155,0.474,1.56,1.057,355,103.75,60.43,41,19,22,17,41,0,0,41,IID22-ST1.TextGrid,ja\data\dataset_l1_focus20\audio\IID22-ST1.mp3
5.493,3.169,6.85,0.0612,0.0847,0.1459,0.753,1.032,0.915,425,134.1,77.37,62,26,36,21,62,0,0,62,IID22-ST2.TextGrid,ja\data\dataset_l1_focus20\audio\IID22-ST2.mp3
4.408,1.783,4.22,0.1337,0.1058,0.2396,0.977,1.92,1.394,359,201.31,81.45,86,48,38,21,86,0,0,86,IID35-ST1.TextGrid,ja\data\dataset_l1_focus20\audio\IID35-ST1.mp3
4.547,1.815,4.69,0.108,0.1108,0.2188,1.349,1.673,1.513,361,198.94,79.39,79,39,40,16,78,1,4,79,IID35-ST2.TextGrid,ja\data\dataset_l1_focus20\audio\IID35-ST2.mp3
4.06,2.017,6.2,0.0806,0.0887,0.1694,0.631,2.24,1.474,124,61.49,30.54,21,10,11,9,21,0,0,21,IID40-ST1.TextGrid,ja\data\dataset_l1_focus20\audio\IID40-ST1.mp3
4.486,2.649,8.04,0.0757,0.0541,0.1297,0.644,1.958,1.192,185,69.84,41.24,24,14,10,11,24,0,0,24,IID40-ST2.TextGrid,ja\data\dataset_l1_focus20\audio\IID40-ST2.mp3
4.598,1.618,4.22,0.1406,0.1004,0.241,1.42,2.001,1.662,249,153.86,54.15,60,35,25,10,60,0,0,60,IID41-ST1.TextGrid,ja\data\dataset_l1_focus20\audio\IID41-ST1.mp3
4.376,1.487,4.11,0.0812,0.1667,0.2479,1.444,1.961,1.792,234,157.39,53.47,58,19,39,13,58,0,0,58,IID41-ST2.TextGrid,ja\data\dataset_l1_focus20\audio\IID41-ST2.mp3
3.874,1.756,5.55,0.0919,0.1213,0.2132,1.559,1.384,1.46,272,154.87,70.21,58,25,33,13,49,8,22,58,KKD19-ST1.TextGrid,ja\data\dataset_l1_focus20\audio\KKD19-ST1.mp3
3.693,1.808,4.74,0.1225,0.1282,0.2507,1.015,1.233,1.126,351,194.18,95.06,88,43,45,28,74,11,34,88,KKD19-ST2.TextGrid,ja\data\dataset_l1_focus20\audio\KKD19-ST2.mp3
5.306,3.924,17.07,0.0312,0.0469,0.0781,0.518,1.07,0.849,256,65.23,48.25,20,8,12,18,16,1,5,20,KKD27-ST1.TextGrid,ja\data\dataset_l1_focus20\audio\KKD27-ST1.mp3
5.506,4.06,14.62,0.0299,0.0641,0.094,0.316,0.862,0.688,234,57.64,42.5,22,7,15,10,17,1,6,22,KKD27-ST2.TextGrid,ja\data\dataset_l1_focus20\audio\KKD27-ST2.mp3
4.34,2.216,5.44,0.0934,0.1054,0.1988,0.778,1.405,1.11,332,149.8,76.51,66,31,35,30,62,2,6,66,KKD46-ST1.TextGrid,ja\data\dataset_l1_focus20\audio\KKD46-ST1.mp3
4.499,2.422,5.81,0.0823,0.1047,0.187,0.783,1.205,1.019,401,165.57,89.13,75,33,42,32,70,1,6,75,KKD46-ST2.TextGrid,ja\data\dataset_l1_focus20\audio\KKD46-ST2.mp3
6.262,2.955,7.2,0.0913,0.0556,0.1468,0.652,2.146,1.217,252,85.28,40.24,37,23,14,17,36,1,1,37,KKR24-ST1.TextGrid,ja\data\dataset_l1_focus20\audio\KKR24-ST1.mp3
5.297,3.178,7.18,0.0728,0.0696,0.1424,0.622,1.157,0.884,316,99.43,59.66,45,23,22,23,45,3,6,45,KKR24-ST2.TextGrid,ja\data\dataset_l1_focus20\audio\KKR24-ST2.mp3
4.822,3.373,10.74,0.031,0.0793,0.1103,0.456,0.945,0.807,290,85.97,60.14,32,9,23,19,28,2,7,32,KKR40-ST1.TextGrid,ja\data\dataset_l1_focus20\audio\KKR40-ST1.mp3
4.522,3.101,7.14,0.085,0.065,0.15,0.69,0.656,0.676,400,128.99,88.45,60,34,26,29,57,4,12,60,KKR40-ST2.TextGrid,ja\data\dataset_l1_focus20\audio\KKR40-ST2.mp3
