subset,measure,delta_mean_auto,delta_pearson_r,delta_spearman_rho,delta_icc_2_1,delta_bias,delta_mae
Overall,AR,-0.3013,-0.179,-0.164,-0.105,-0.3012,0.1271
Overall,SR,0.0,0.0,0.0,0.0,0.0,0.0
Overall,MLR,0.0,0.0,0.0,0.0,0.0,0.0
Overall,MCPR,0.0006,-0.002,-0.001,-0.003,0.0006,0.0004
Overall,ECPR,0.0056,-0.059,-0.048,-0.067,0.0056,0.0044
Overall,PR,0.0061,-0.018,-0.012,-0.022,0.0062,0.0046
Overall,MCPD,-0.0198,-0.003,-0.009,0.014,-0.0199,-0.0153
Overall,ECPD,-0.2394,-0.184,-0.301,-0.145,-0.2394,0.1282
Overall,MPD,-0.1354,-0.127,-0.264,-0.072,-0.1353,0.0457
ST1,AR,-0.2761,-0.124,-0.15,-0.05,-0.2762,0.0788
ST1,SR,0.0,0.0,0.0,0.0,0.0,0.0
ST1,MLR,0.0,0.0,0.0,0.0,0.0,0.0
ST1,MCPR,0.0002,-0.002,-0.011,-0.003,0.0002,0.0002
ST1,ECPR,0.005,-0.102,-0.064,-0.095,0.005,0.0044
ST1,PR,0.0052,-0.013,-0.018,-0.017,0.0053,0.0031
ST1,MCPD,-0.0054,-0.003,0.001,0.002,-0.0052,-0.0052
ST1,ECPD,-0.2519,-0.226,-0.37,-0.175,-0.2519,0.1453
ST1,MPD,-0.1378,-0.16,-0.257,-0.101,-0.1377,0.0519
ST2,AR,-0.3263,-0.242,-0.179,-0.175,-0.3262,0.1753
ST2,SR,0.0,0.0,0.0,0.0,0.0,0.0
ST2,MLR,0.0,0.0,0.0,0.0,0.0,0.0
ST2,MCPR,0.001,-0.002,0.002,-0.003,0.0009,0.0007
ST2,ECPR,0.006,-0.034,-0.027,-0.049,0.0061,0.0045
ST2,PR,0.007,-0.022,-0.014,-0.025,0.007,0.006
ST2,MCPD,-0.0344,-0.003,-0.027,0.02,-0.0345,-0.0253
ST2,ECPD,-0.2269,-0.154,-0.301,-0.12,-0.2269,0.1112
ST2,MPD,-0.1331,-0.099,-0.275,-0.046,-0.1331,0.0394
