subset,measure,n_base,mean_auto_base,mean_manual_base,pearson_r_base,spearman_rho_base,icc_2_1_base,bias_base,mae_base,n_vad,mean_auto_vad,mean_manual_vad,pearson_r_vad,spearman_rho_vad,icc_2_1_vad,bias_vad,mae_vad
Overall,AR,40.0,5.122,4.845,0.952,0.942,0.877,0.277,0.296,40.0,4.82,4.845,0.773,0.778,0.772,-0.024,0.424
Overall,SR,40.0,2.563,2.669,0.992,0.988,0.982,-0.106,0.116,40.0,2.563,2.669,0.992,0.988,0.982,-0.106,0.116
Overall,MLR,40.0,7.36,7.645,0.991,0.987,0.975,-0.285,0.46,40.0,7.36,7.645,0.991,0.987,0.975,-0.285,0.46
Overall,MCPR,40.0,0.078,0.077,0.915,0.929,0.915,0.001,0.009,40.0,0.078,0.077,0.913,0.928,0.912,0.002,0.01
Overall,ECPR,40.0,0.078,0.078,0.891,0.886,0.888,-0.0,0.009,40.0,0.084,0.078,0.832,0.838,0.821,0.005,0.013
Overall,PR,40.0,0.156,0.155,0.99,0.986,0.984,0.001,0.007,40.0,0.162,0.155,0.972,0.974,0.962,0.007,0.012
Overall,MCPD,40.0,0.895,0.752,0.955,0.895,0.878,0.143,0.152,40.0,0.875,0.752,0.952,0.886,0.892,0.123,0.136
Overall,ECPD,40.0,1.951,1.74,0.944,0.905,0.89,0.211,0.223,40.0,1.712,1.74,0.76,0.604,0.745,-0.028,0.351
Overall,MPD,40.0,1.428,1.261,0.953,0.886,0.89,0.167,0.175,40.0,1.292,1.261,0.826,0.622,0.818,0.032,0.221
ST1,AR,20.0,5.192,4.913,0.964,0.965,0.896,0.28,0.29,20.0,4.916,4.913,0.84,0.815,0.846,0.003,0.368
ST1,SR,20.0,2.569,2.654,0.993,0.989,0.986,-0.085,0.101,20.0,2.569,2.654,0.993,0.989,0.986,-0.085,0.101
ST1,MLR,20.0,7.572,7.784,0.997,0.987,0.988,-0.213,0.348,20.0,7.572,7.784,0.997,0.987,0.988,-0.213,0.348
ST1,MCPR,20.0,0.077,0.075,0.902,0.879,0.901,0.002,0.01,20.0,0.077,0.075,0.9,0.868,0.898,0.002,0.01
ST1,ECPR,20.0,0.074,0.075,0.85,0.829,0.844,-0.001,0.009,20.0,0.079,0.075,0.748,0.765,0.749,0.004,0.014
ST1,PR,20.0,0.151,0.15,0.993,0.988,0.99,0.0,0.006,20.0,0.156,0.15,0.98,0.97,0.973,0.006,0.009
ST1,MCPD,20.0,0.855,0.733,0.96,0.853,0.881,0.122,0.13,20.0,0.849,0.733,0.957,0.854,0.883,0.117,0.125
ST1,ECPD,20.0,2.115,1.879,0.93,0.934,0.868,0.236,0.244,20.0,1.864,1.879,0.704,0.564,0.693,-0.016,0.39
ST1,MPD,20.0,1.473,1.315,0.961,0.908,0.9,0.158,0.163,20.0,1.335,1.315,0.801,0.651,0.799,0.02,0.215
ST2,AR,20.0,5.05,4.776,0.941,0.925,0.861,0.274,0.303,20.0,4.724,4.776,0.699,0.746,0.686,-0.052,0.479
ST2,SR,20.0,2.557,2.684,0.993,0.976,0.979,-0.126,0.132,20.0,2.557,2.684,0.993,0.976,0.979,-0.126,0.132
ST2,MLR,20.0,7.148,7.506,0.986,0.955,0.961,-0.357,0.572,20.0,7.148,7.506,0.986,0.955,0.961,-0.357,0.572
ST2,MCPR,20.0,0.079,0.078,0.927,0.938,0.93,0.001,0.009,20.0,0.08,0.078,0.925,0.94,0.927,0.002,0.01
ST2,ECPR,20.0,0.082,0.081,0.916,0.908,0.915,0.001,0.008,20.0,0.088,0.081,0.882,0.881,0.866,0.007,0.012
ST2,PR,20.0,0.161,0.159,0.988,0.95,0.98,0.002,0.009,20.0,0.168,0.159,0.966,0.936,0.955,0.009,0.015
ST2,MCPD,20.0,0.935,0.771,0.953,0.916,0.881,0.164,0.174,20.0,0.901,0.771,0.95,0.889,0.901,0.129,0.148
ST2,ECPD,20.0,1.787,1.6,0.953,0.892,0.908,0.186,0.201,20.0,1.56,1.6,0.799,0.591,0.788,-0.041,0.312
ST2,MPD,20.0,1.383,1.207,0.945,0.887,0.884,0.176,0.187,20.0,1.25,1.207,0.846,0.612,0.838,0.043,0.227
