file_id,task,MCPD_auto_baseline,MCPD_manual,MCPD_auto_vad,abs_err_baseline,abs_err_vad,abs_err_delta_vad_minus_base
CCH16-ST1,ST1,0.821,0.741,0.821,0.07999999999999996,0.07999999999999996,0.0
CCH16-ST2,ST2,0.77,0.837,0.744,0.06699999999999995,0.09299999999999997,0.026000000000000023
CCM35-ST1,ST1,0.717,0.548,0.717,0.16899999999999993,0.16899999999999993,0.0
CCM35-ST2,ST2,0.64,0.571,0.64,0.06900000000000006,0.06900000000000006,0.0
CCS09-ST1,ST1,0.657,0.676,0.657,0.019000000000000017,0.019000000000000017,0.0
CCS09-ST2,ST2,0.453,0.433,0.453,0.020000000000000018,0.020000000000000018,0.0
CCS45-ST1,ST1,0.926,0.834,0.926,0.09200000000000008,0.09200000000000008,0.0
CCS45-ST2,ST2,0.854,0.739,0.845,0.11499999999999999,0.10599999999999998,-0.009000000000000008
CCT15-ST1,ST1,0.48,0.423,0.48,0.056999999999999995,0.056999999999999995,0.0
CCT15-ST2,ST2,0.5,0.486,0.5,0.014000000000000012,0.014000000000000012,0.0
EAU18-ST1,ST1,0.908,0.762,0.908,0.14600000000000002,0.14600000000000002,0.0
EAU18-ST2,ST2,1.3,1.034,1.3,0.266,0.266,0.0
ENZ20-ST1,ST1,0.65,0.589,0.65,0.061000000000000054,0.061000000000000054,0.0
ENZ20-ST2,ST2,0.681,0.609,0.681,0.07200000000000006,0.07200000000000006,0.0
ENZ31-ST1,ST1,0.828,0.556,0.828,0.2719999999999999,0.2719999999999999,0.0
ENZ31-ST2,ST2,0.51,0.51,0.51,0.0,0.0,0.0
EUS11-ST1,ST1,1.847,1.453,1.847,0.3939999999999999,0.3939999999999999,0.0
EUS11-ST2,ST2,2.657,2.313,2.657,0.34399999999999986,0.34399999999999986,0.0
EUS32-ST1,ST1,0.795,0.735,0.773,0.06000000000000005,0.038000000000000034,-0.02200000000000002
EUS32-ST2,ST2,1.137,1.054,1.137,0.08299999999999996,0.08299999999999996,0.0
IID15-ST1,ST1,0.913,0.693,0.913,0.22000000000000008,0.22000000000000008,0.0
IID15-ST2,ST2,0.93,0.577,0.93,0.3530000000000001,0.3530000000000001,0.0
IID22-ST1,ST1,0.474,0.408,0.474,0.066,0.066,0.0
IID22-ST2,ST2,0.753,0.627,0.753,0.126,0.126,0.0
IID35-ST1,ST1,0.977,0.67,0.977,0.30699999999999994,0.30699999999999994,0.0
IID35-ST2,ST2,1.48,0.935,1.349,0.5449999999999999,0.4139999999999999,-0.131
IID40-ST1,ST1,0.631,0.599,0.631,0.03200000000000003,0.03200000000000003,0.0
IID40-ST2,ST2,0.644,0.455,0.644,0.189,0.189,0.0
IID41-ST1,ST1,1.42,1.125,1.42,0.29499999999999993,0.29499999999999993,0.0
IID41-ST2,ST2,1.444,0.879,1.444,0.565,0.565,0.0
KKD19-ST1,ST1,1.583,1.471,1.559,0.11199999999999988,0.08799999999999986,-0.02400000000000002
KKD19-ST2,ST2,1.4,1.081,1.015,0.31899999999999995,0.06600000000000006,-0.2529999999999999
KKD27-ST1,ST1,0.518,0.512,0.518,0.006000000000000005,0.006000000000000005,0.0
KKD27-ST2,ST2,0.316,0.35,0.316,0.033999999999999975,0.033999999999999975,0.0
KKD46-ST1,ST1,0.778,0.727,0.778,0.051000000000000045,0.051000000000000045,0.0
KKD46-ST2,ST2,0.783,0.711,0.783,0.07200000000000006,0.07200000000000006,0.0
KKR24-ST1,ST1,0.712,0.614,0.652,0.09799999999999998,0.038000000000000034,-0.05999999999999994
KKR24-ST2,ST2,0.683,0.615,0.622,0.06800000000000006,0.007000000000000006,-0.061000000000000054
KKR40-ST1,ST1,0.456,0.516,0.456,0.06,0.06,0.0
KKR40-ST2,ST2,0.768,0.613,0.69,0.15500000000000003,0.07699999999999996,-0.07800000000000007
