AR,SR,MLR,MCPR,ECPR,PR,MCPD,ECPD,MPD,total_mora,total_duration,phonation_time,n_pauses,n_mid_clause_pauses,n_end_clause_pauses,n_clauses,file
5.947,3.222,8.53,0.0574,0.0623,0.1197,0.821,1.525,1.188,401,124.45,67.43,48,23,25,25,CCH16-ST1.TextGrid
6.058,3.131,8.74,0.0471,0.0707,0.1178,0.77,1.669,1.309,297,94.86,49.03,35,14,21,23,CCH16-ST2.TextGrid
4.66,2.732,8.37,0.0346,0.0881,0.1226,0.717,1.438,1.235,318,116.39,68.24,39,11,28,22,CCM35-ST1.TextGrid
4.414,3.016,9.17,0.0523,0.0591,0.1114,0.64,1.211,0.943,440,145.91,99.69,49,23,26,28,CCM35-ST2.TextGrid
5.24,3.348,8.7,0.0523,0.0627,0.115,0.657,1.172,0.938,287,85.72,54.77,33,15,18,12,CCS09-ST1.TextGrid
4.962,3.149,10.16,0.0431,0.0585,0.1015,0.453,1.651,1.143,325,103.21,65.5,33,14,19,19,CCS09-ST2.TextGrid
4.816,2.186,5.54,0.0799,0.1007,0.1806,0.926,1.746,1.383,288,131.72,59.8,52,23,29,16,CCS45-ST1.TextGrid
4.944,2.032,4.56,0.1111,0.1111,0.2222,0.854,1.756,1.305,333,163.91,67.35,74,37,37,29,CCS45-ST2.TextGrid
5.348,3.475,9.23,0.0614,0.0487,0.1101,0.48,1.464,0.916,554,159.44,103.59,61,34,27,35,CCT15-ST1.TextGrid
5.346,3.664,8.73,0.0691,0.0471,0.1162,0.5,1.089,0.739,637,173.84,119.16,74,44,30,37,CCT15-ST2.TextGrid
5.577,2.79,9.44,0.0516,0.0571,0.1087,0.908,2.318,1.648,368,131.91,65.98,40,19,21,24,EAU18-ST1.TextGrid
5.42,2.494,7.7,0.0565,0.0763,0.1328,1.3,1.876,1.631,354,141.95,65.31,47,20,27,22,EAU18-ST2.TextGrid
5.412,2.565,6.74,0.0873,0.0655,0.1528,0.65,2.265,1.342,229,89.28,42.31,35,20,15,16,ENZ20-ST1.TextGrid
4.767,1.877,4.82,0.1259,0.0889,0.2148,0.681,2.67,1.504,135,71.93,28.32,29,17,12,13,ENZ20-ST2.TextGrid
5.875,2.378,8.27,0.0604,0.0659,0.1264,0.828,3.037,1.981,182,76.54,30.98,23,11,12,13,ENZ31-ST1.TextGrid
5.478,2.63,10.18,0.0289,0.0751,0.104,0.51,2.434,1.9,173,65.77,31.58,18,5,13,14,ENZ31-ST2.TextGrid
3.872,1.217,5.24,0.0883,0.106,0.1943,1.847,3.779,2.901,283,232.63,73.08,55,25,30,18,EUS11-ST1.TextGrid
3.578,0.959,4.0,0.163,0.0924,0.2554,2.657,3.567,2.986,184,191.77,51.42,47,30,17,13,EUS11-ST2.TextGrid
4.585,2.152,5.23,0.113,0.0783,0.1913,0.795,2.002,1.289,230,106.88,50.16,44,26,18,17,EUS32-ST1.TextGrid
4.422,1.908,4.73,0.1056,0.1092,0.2148,1.137,1.629,1.387,284,148.82,64.22,61,30,31,21,EUS32-ST2.TextGrid
4.997,2.253,6.62,0.1067,0.0489,0.1556,0.913,2.993,1.567,225,99.87,45.03,35,24,11,12,IID15-ST1.TextGrid
5.144,2.596,7.0,0.0731,0.0731,0.1462,0.93,1.681,1.306,301,115.96,58.51,44,22,22,17,IID15-ST2.TextGrid
5.875,3.422,8.88,0.0535,0.062,0.1155,0.474,1.56,1.057,355,103.75,60.43,41,19,22,17,IID22-ST1.TextGrid
5.493,3.169,6.85,0.0612,0.0847,0.1459,0.753,1.032,0.915,425,134.1,77.37,62,26,36,21,IID22-ST2.TextGrid
4.408,1.783,4.22,0.1337,0.1058,0.2396,0.977,1.92,1.394,359,201.31,81.45,86,48,38,21,IID35-ST1.TextGrid
4.764,1.815,4.69,0.1053,0.1108,0.2161,1.48,1.673,1.579,361,198.94,75.78,78,38,40,16,IID35-ST2.TextGrid
4.06,2.017,6.2,0.0806,0.0887,0.1694,0.631,2.24,1.474,124,61.49,30.54,21,10,11,9,IID40-ST1.TextGrid
4.486,2.649,8.04,0.0757,0.0541,0.1297,0.644,1.958,1.192,185,69.84,41.24,24,14,10,11,IID40-ST2.TextGrid
4.598,1.618,4.22,0.1406,0.1004,0.241,1.42,2.001,1.662,249,153.86,54.15,60,35,25,10,IID41-ST1.TextGrid
4.376,1.487,4.11,0.0812,0.1667,0.2479,1.444,1.961,1.792,234,157.39,53.47,58,19,39,13,IID41-ST2.TextGrid
5.407,1.756,5.55,0.0919,0.0882,0.1801,1.583,2.708,2.134,272,154.87,50.3,49,25,24,13,KKD19-ST1.TextGrid
5.137,1.808,4.74,0.1083,0.1026,0.2108,1.4,2.018,1.701,351,194.18,68.33,74,38,36,28,KKD19-ST2.TextGrid
6.252,3.924,17.07,0.0312,0.0312,0.0625,0.518,2.518,1.518,256,65.23,40.95,16,8,8,18,KKD27-ST1.TextGrid
6.392,4.06,14.62,0.0299,0.0427,0.0726,0.316,1.882,1.237,234,57.64,36.61,17,7,10,10,KKD27-ST2.TextGrid
4.937,2.216,5.44,0.0934,0.0934,0.1867,0.778,1.885,1.331,332,149.8,67.25,62,31,31,30,KKD46-ST1.TextGrid
4.91,2.422,5.81,0.0823,0.0923,0.1746,0.783,1.569,1.199,401,165.57,81.67,70,33,37,32,KKD46-ST2.TextGrid
6.368,2.955,7.2,0.0873,0.0556,0.1429,0.712,2.146,1.27,252,85.28,39.57,36,22,14,17,KKR24-ST1.TextGrid
5.711,3.178,7.18,0.0728,0.0696,0.1424,0.683,1.29,0.98,316,99.43,55.33,45,23,22,23,KKR24-ST2.TextGrid
5.617,3.373,10.74,0.031,0.0655,0.0966,0.456,1.591,1.226,290,85.97,51.63,28,9,19,19,KKR40-ST1.TextGrid
5.206,3.101,7.14,0.0825,0.06,0.1425,0.768,1.117,0.915,400,128.99,76.83,57,33,24,29,KKR40-ST2.TextGrid
