AR,SR,MLR,MCPR,ECPR,PR,MCPD,ECPD,MPD,total_mora,total_duration,phonation_time,n_pauses,n_mid_clause_pauses,n_end_clause_pauses,n_clauses,file
5.942,3.335,8.83,0.0482,0.0675,0.1157,0.741,1.421,1.138,415,124.45,69.84,48,20,28,29,CCH16-ST1.TextGrid
6.169,3.331,9.29,0.0348,0.0759,0.1108,0.837,1.434,1.247,316,94.86,51.22,35,11,24,23,CCH16-ST2.TextGrid
4.373,2.921,8.5,0.0588,0.0618,0.1206,0.548,1.318,0.943,340,116.39,77.74,41,20,21,21,CCM35-ST1.TextGrid
4.25,3.235,10.04,0.0403,0.0614,0.1017,0.571,0.827,0.726,472,145.91,111.06,48,19,29,26,CCM35-ST2.TextGrid
5.34,3.465,9.58,0.0505,0.0572,0.1077,0.676,1.174,0.941,297,85.72,55.62,32,15,17,12,CCS09-ST1.TextGrid
5.044,3.343,10.78,0.0377,0.058,0.0957,0.433,1.459,1.055,345,103.21,68.4,33,13,20,22,CCS09-ST2.TextGrid
4.467,2.103,5.13,0.1119,0.0866,0.1986,0.834,1.827,1.267,277,131.72,62.01,55,31,24,17,CCS45-ST1.TextGrid
4.692,2.08,4.67,0.1085,0.1085,0.217,0.739,1.727,1.233,341,163.91,72.68,74,37,37,32,CCS45-ST2.TextGrid
5.041,3.644,9.85,0.0688,0.0344,0.1033,0.423,1.363,0.737,581,159.44,115.25,60,40,20,34,CCT15-ST1.TextGrid
5.193,3.825,10.39,0.0632,0.0346,0.0977,0.486,1.104,0.704,665,173.84,128.06,65,42,23,40,CCT15-ST2.TextGrid
5.289,2.85,9.64,0.0479,0.0585,0.1064,0.762,2.141,1.52,376,131.91,71.09,40,18,22,27,EAU18-ST1.TextGrid
4.846,2.459,7.27,0.0688,0.0716,0.1404,1.034,1.805,1.427,349,141.95,72.02,49,24,25,22,EAU18-ST2.TextGrid
5.204,2.61,6.85,0.0858,0.0644,0.1502,0.589,2.181,1.272,233,89.28,44.77,35,20,15,13,ENZ20-ST1.TextGrid
4.591,1.919,4.76,0.1304,0.087,0.2174,0.609,2.576,1.396,138,71.93,30.06,30,18,12,13,ENZ20-ST2.TextGrid
5.74,2.417,8.41,0.0541,0.0703,0.1243,0.556,2.98,1.926,185,76.54,32.23,23,10,13,13,ENZ31-ST1.TextGrid
5.405,2.691,10.41,0.0282,0.0734,0.1017,0.51,2.344,1.835,177,65.77,32.75,18,5,13,13,ENZ31-ST2.TextGrid
3.62,1.294,5.02,0.0997,0.103,0.2027,1.453,3.416,2.451,301,232.63,83.14,61,30,31,18,EUS11-ST1.TextGrid
3.17,0.975,3.9,0.1283,0.1337,0.262,2.313,3.091,2.71,187,191.77,58.99,49,24,25,12,EUS11-ST2.TextGrid
4.344,2.171,5.4,0.1121,0.0776,0.1897,0.735,1.91,1.215,232,106.88,53.41,44,26,18,17,EUS32-ST1.TextGrid
4.252,1.935,4.72,0.1076,0.1076,0.2153,1.054,1.562,1.308,288,148.82,67.73,62,31,31,21,EUS32-ST2.TextGrid
4.597,2.293,6.19,0.0917,0.0742,0.1659,0.693,2.088,1.317,229,99.87,49.81,38,21,17,12,IID15-ST1.TextGrid
4.608,2.647,6.67,0.0749,0.0782,0.1531,0.577,1.503,1.05,307,115.96,66.62,47,23,24,17,IID15-ST2.TextGrid
5.449,3.508,9.58,0.0522,0.0549,0.1071,0.408,1.46,0.948,364,103.75,66.8,39,19,20,18,IID22-ST1.TextGrid
5.084,3.363,8.05,0.0665,0.0576,0.1242,0.627,1.023,0.811,451,134.1,88.71,56,30,26,20,IID22-ST2.TextGrid
3.932,1.972,4.18,0.1209,0.1234,0.2443,0.67,1.392,1.034,397,201.31,100.98,97,48,49,21,IID35-ST1.TextGrid
3.723,1.905,4.21,0.124,0.1161,0.2401,0.935,1.208,1.067,379,198.94,101.81,91,47,44,19,IID35-ST2.TextGrid
3.804,2.049,6.0,0.0873,0.0873,0.1746,0.599,1.98,1.289,126,61.49,33.12,22,11,11,9,IID40-ST1.TextGrid
4.077,2.635,7.67,0.0815,0.0543,0.1359,0.455,1.789,0.989,184,69.84,45.13,25,15,10,12,IID40-ST2.TextGrid
3.926,1.709,4.17,0.1103,0.1331,0.2433,1.125,1.55,1.357,263,153.86,67.0,64,29,35,12,IID41-ST1.TextGrid
3.834,1.728,3.83,0.1103,0.1544,0.2647,0.879,1.43,1.201,272,157.39,70.95,72,30,42,16,IID41-ST2.TextGrid
4.569,1.685,5.55,0.092,0.092,0.1839,1.471,2.602,2.037,261,154.87,57.12,48,24,24,17,KKD19-ST1.TextGrid
4.522,1.869,4.65,0.1047,0.1129,0.2176,1.081,1.776,1.442,363,194.18,80.28,79,38,41,28,KKD19-ST2.TextGrid
6.199,3.97,18.5,0.0232,0.0347,0.0579,0.512,2.265,1.563,259,65.23,41.78,15,6,9,18,KKD27-ST1.TextGrid
6.396,4.147,17.07,0.0251,0.0377,0.0628,0.35,2.018,1.351,239,57.64,37.37,15,6,9,16,KKD27-ST2.TextGrid
4.866,2.53,5.74,0.0844,0.0923,0.1768,0.727,1.39,1.073,379,149.8,77.89,67,32,35,34,KKD46-ST1.TextGrid
4.711,2.658,5.87,0.0864,0.0864,0.1727,0.711,1.189,0.95,440,165.57,93.4,76,38,38,30,KKD46-ST2.TextGrid
6.16,3.131,7.22,0.0749,0.0674,0.1423,0.614,1.648,1.104,267,85.28,43.34,38,20,18,20,KKR24-ST1.TextGrid
5.655,3.52,8.14,0.0657,0.06,0.1257,0.615,1.114,0.853,350,99.43,61.89,44,23,21,25,KKR24-ST2.TextGrid
5.399,3.432,11.35,0.0305,0.061,0.0915,0.516,1.483,1.16,295,85.97,54.63,27,9,18,18,KKR40-ST1.TextGrid
5.3,3.411,7.72,0.075,0.0568,0.1318,0.613,1.03,0.793,440,128.99,83.02,58,33,25,32,KKR40-ST2.TextGrid
