measure,subset,n,mean_auto,mean_manual,pearson_r,pearson_p,pearson_ci_lo,pearson_ci_hi,spearman_rho,spearman_p,spearman_ci_lo,spearman_ci_hi,icc_2_1,icc_ci_lo,icc_ci_hi,bias,mae,loa_lo,loa_hi
AR,Overall,40,5.1215,4.8446,0.952,4.338554984856058e-21,0.91,0.974,0.942,1.2017801576766229e-19,0.893,0.969,0.877,0.78,0.93,0.2769,0.2964,-0.221,0.7748
SR,Overall,40,2.5632,2.6691,0.992,6.3862602640173e-36,0.985,0.996,0.988,1.9663246396683363e-32,0.977,0.994,0.982,0.967,0.99,-0.1059,0.1161,-0.3056,0.0937
MLR,Overall,40,7.36,7.645,0.991,2.26106233004955e-34,0.982,0.995,0.987,1.5979551013115778e-31,0.975,0.993,0.975,0.953,0.986,-0.285,0.46,-1.5122,0.9422
MCPR,Overall,40,0.0778,0.0767,0.915,1.5435081663308484e-16,0.844,0.954,0.929,6.173893737917795e-18,0.868,0.962,0.915,0.861,0.953,0.0011,0.0094,-0.0246,0.0268
ECPR,Overall,40,0.078,0.0782,0.891,1.2775385183037805e-14,0.803,0.941,0.886,2.8711858482684404e-14,0.794,0.939,0.888,0.779,0.952,-0.0002,0.0086,-0.0257,0.0253
PR,Overall,40,0.1558,0.1549,0.99,1.156212936273469e-33,0.98,0.995,0.986,5.058862849663422e-31,0.973,0.992,0.984,0.972,0.991,0.0009,0.0074,-0.0177,0.0195
MCPD,Overall,40,0.8948,0.752,0.955,1.2338800675016333e-21,0.916,0.976,0.895,7.323839799881334e-15,0.808,0.943,0.878,0.706,0.94,0.1428,0.1518,-0.1559,0.4415
ECPD,Overall,40,1.951,1.7399,0.944,6.663210211379451e-20,0.896,0.97,0.905,1.1351150704606284e-15,0.826,0.949,0.89,0.78,0.942,0.2111,0.2228,-0.1997,0.6218
MPD,Overall,40,1.4279,1.261,0.953,2.9871971721073246e-21,0.912,0.975,0.886,2.9575113468261574e-14,0.794,0.939,0.89,0.735,0.942,0.1669,0.175,-0.1137,0.4475
AR,ST1,20,5.1925,4.9131,0.964,8.771629568283795e-12,0.909,0.986,0.965,6.5513794072982646e-12,0.912,0.986,0.896,0.775,0.953,0.2795,0.2895,-0.1466,0.7056
