file_id,task,AR_auto,AR_manual,SR_auto,SR_manual,MLR_auto,MLR_manual,MCPR_auto,MCPR_manual,ECPR_auto,ECPR_manual,PR_auto,PR_manual,MCPD_auto,MCPD_manual,ECPD_auto,ECPD_manual,MPD_auto,MPD_manual
CCH16-ST1,ST1,5.947,5.942,3.222,3.335,8.53,8.83,0.0574,0.0482,0.0623,0.0675,0.1197,0.1157,0.821,0.741,1.525,1.421,1.188,1.138
CCH16-ST2,ST2,6.058,6.169,3.131,3.331,8.74,9.29,0.0471,0.0348,0.0707,0.0759,0.1178,0.1108,0.77,0.837,1.669,1.434,1.309,1.247
CCM35-ST1,ST1,4.66,4.373,2.732,2.921,8.37,8.5,0.0346,0.0588,0.0881,0.0618,0.1226,0.1206,0.717,0.548,1.438,1.318,1.235,0.943
CCM35-ST2,ST2,4.414,4.25,3.016,3.235,9.17,10.04,0.0523,0.0403,0.0591,0.0614,0.1114,0.1017,0.64,0.571,1.211,0.827,0.943,0.726
CCS09-ST1,ST1,5.24,5.34,3.348,3.465,8.7,9.58,0.0523,0.0505,0.0627,0.0572,0.115,0.1077,0.657,0.676,1.172,1.174,0.938,0.941
CCS09-ST2,ST2,4.962,5.044,3.149,3.343,10.16,10.78,0.0431,0.0377,0.0585,0.058,0.1015,0.0957,0.453,0.433,1.651,1.459,1.143,1.055
CCS45-ST1,ST1,4.816,4.467,2.186,2.103,5.54,5.13,0.0799,0.1119,0.1007,0.0866,0.1806,0.1986,0.926,0.834,1.746,1.827,1.383,1.267
CCS45-ST2,ST2,4.944,4.692,2.032,2.08,4.56,4.67,0.1111,0.1085,0.1111,0.1085,0.2222,0.217,0.854,0.739,1.756,1.727,1.305,1.233
CCT15-ST1,ST1,5.348,5.041,3.475,3.644,9.23,9.85,0.0614,0.0688,0.0487,0.0344,0.1101,0.1033,0.48,0.423,1.464,1.363,0.916,0.737
CCT15-ST2,ST2,5.346,5.193,3.664,3.825,8.73,10.39,0.0691,0.0632,0.0471,0.0346,0.1162,0.0977,0.5,0.486,1.089,1.104,0.739,0.704
EAU18-ST1,ST1,5.577,5.289,2.79,2.85,9.44,9.64,0.0516,0.0479,0.0571,0.0585,0.1087,0.1064,0.908,0.762,2.318,2.141,1.648,1.52
EAU18-ST2,ST2,5.42,4.846,2.494,2.459,7.7,7.27,0.0565,0.0688,0.0763,0.0716,0.1328,0.1404,1.3,1.034,1.876,1.805,1.631,1.427
ENZ20-ST1,ST1,5.412,5.204,2.565,2.61,6.74,6.85,0.0873,0.0858,0.0655,0.0644,0.1528,0.1502,0.65,0.589,2.265,2.181,1.342,1.272
ENZ20-ST2,ST2,4.767,4.591,1.877,1.919,4.82,4.76,0.1259,0.1304,0.0889,0.087,0.2148,0.2174,0.681,0.609,2.67,2.576,1.504,1.396
ENZ31-ST1,ST1,5.875,5.74,2.378,2.417,8.27,8.41,0.0604,0.0541,0.0659,0.0703,0.1264,0.1243,0.828,0.556,3.037,2.98,1.981,1.926
ENZ31-ST2,ST2,5.478,5.405,2.63,2.691,10.18,10.41,0.0289,0.0282,0.0751,0.0734,0.104,0.1017,0.51,0.51,2.434,2.344,1.9,1.835
EUS11-ST1,ST1,3.872,3.62,1.217,1.294,5.24,5.02,0.0883,0.0997,0.106,0.103,0.1943,0.2027,1.847,1.453,3.779,3.416,2.901,2.451
EUS11-ST2,ST2,3.578,3.17,0.959,0.975,4.0,3.9,0.163,0.1283,0.0924,0.1337,0.2554,0.262,2.657,2.313,3.567,3.091,2.986,2.71
EUS32-ST1,ST1,4.585,4.344,2.152,2.171,5.23,5.4,0.113,0.1121,0.0783,0.0776,0.1913,0.1897,0.795,0.735,2.002,1.91,1.289,1.215
EUS32-ST2,ST2,4.422,4.252,1.908,1.935,4.73,4.72,0.1056,0.1076,0.1092,0.1076,0.2148,0.2153,1.137,1.054,1.629,1.562,1.387,1.308
