key	local_pdf	path
TavakoliSkehan2005	yes	/Users/riku/Library/CloudStorage/Dropbox/zemizemi/article/newcaf_usethis/release_en_ja_shared_20260224/refs/TavakoliSkehan2005.pdf
SuzukiKormos2023	yes	/Users/riku/Library/CloudStorage/Dropbox/zemizemi/article/newcaf_usethis/release_en_ja_shared_20260224/refs/SuzukiKormos2023.pdf
deJong2016	yes	/Users/riku/Library/CloudStorage/Dropbox/zemizemi/article/newcaf_usethis/release_en_ja_shared_20260224/refs/deJong2016.pdf
SuzukiEtAl2021	yes	/Users/riku/Library/CloudStorage/Dropbox/zemizemi/article/newcaf_usethis/release_en_ja_shared_20260224/refs/SuzukiEtAl2021.pdf
Kormos2006	no	-
FosterEtAl2000	yes	/Users/riku/Library/CloudStorage/Dropbox/zemizemi/article/newcaf_usethis/release_en_ja_shared_20260224/refs/FosterEtAl2000.pdf
VercellottiHall2024	yes	/Users/riku/Library/CloudStorage/Dropbox/zemizemi/article/newcaf_usethis/release_en_ja_shared_20260224/refs/VercellottiHall2024.pdf
deJongWempe2009	yes	/Users/riku/Library/CloudStorage/Dropbox/zemizemi/article/newcaf_usethis/release_en_ja_shared_20260224/refs/deJongWempe2009.pdf
deJongEtAl2021	yes	/Users/riku/Library/CloudStorage/Dropbox/zemizemi/article/newcaf_usethis/release_en_ja_shared_20260224/refs/deJongEtAl2021.pdf
Rose2020	yes	/Users/riku/Library/CloudStorage/Dropbox/zemizemi/article/newcaf_usethis/release_en_ja_shared_20260224/refs/Rose2020.pdf
ChenYoon2011	yes	/Users/riku/Library/CloudStorage/Dropbox/zemizemi/article/newcaf_usethis/release_en_ja_shared_20260224/refs/ChenYoon2011.pdf
ChenYoon2012	yes	/Users/riku/Library/CloudStorage/Dropbox/zemizemi/article/newcaf_usethis/release_en_ja_shared_20260224/refs/ChenYoon2012.pdf
Matsuura2022	no	-
KnillEtAl2018	yes	/Users/riku/Library/CloudStorage/Dropbox/zemizemi/article/newcaf_usethis/release_en_ja_shared_20260224/refs/KnillEtAl2018.pdf
KnillEtAl2019	yes	/Users/riku/Library/CloudStorage/Dropbox/zemizemi/article/newcaf_usethis/release_en_ja_shared_20260224/refs/KnillEtAl2019.pdf
SkidmoreMoore2023	yes	/Users/riku/Library/CloudStorage/Dropbox/zemizemi/article/newcaf_usethis/release_en_ja_shared_20260224/refs/SkidmoreMoore2023.pdf
Matsuura2025	yes	/Users/riku/Library/CloudStorage/Dropbox/zemizemi/article/newcaf_usethis/release_en_ja_shared_20260224/refs/Matsuura2025.pdf
MorinLarsson2025	yes	/Users/riku/Library/CloudStorage/Dropbox/zemizemi/article/newcaf_usethis/release_en_ja_shared_20260224/refs/MorinLarsson2025.pdf
ZayatsEtAl2019	yes	/Users/riku/Library/CloudStorage/Dropbox/zemizemi/article/newcaf_usethis/release_en_ja_shared_20260224/refs/ZayatsEtAl2019.pdf
Kundu2022	yes	/Users/riku/Library/CloudStorage/Dropbox/zemizemi/article/newcaf_usethis/release_en_ja_shared_20260224/refs/Kundu2022.pdf
SuzukiRevesz2023	yes	/Users/riku/Library/CloudStorage/Dropbox/zemizemi/article/newcaf_usethis/release_en_ja_shared_20260224/refs/SuzukiRevesz2023.pdf
ZhuEtAl2022	yes	/Users/riku/Library/CloudStorage/Dropbox/zemizemi/article/newcaf_usethis/release_en_ja_shared_20260224/refs/ZhuEtAl2022.pdf
LandisKoch1977	yes	/Users/riku/Library/CloudStorage/Dropbox/zemizemi/article/newcaf_usethis/release_en_ja_shared_20260224/refs/LandisKoch1977.pdf
DonnerEliasziw1987	yes	/Users/riku/Library/CloudStorage/Dropbox/zemizemi/article/newcaf_usethis/release_en_ja_shared_20260224/refs/DonnerEliasziw1987.pdf
PlonskyOswald2014	yes	/Users/riku/Library/CloudStorage/Dropbox/zemizemi/article/newcaf_usethis/release_en_ja_shared_20260224/refs/PlonskyOswald2014.pdf
