key	status	source
ChenYoon2011	downloaded	https://aclanthology.org/W11-1405.pdf
ChenYoon2012	downloaded	https://www.isca-archive.org/interspeech_2012/chen12e_interspeech.pdf
KnillEtAl2018	downloaded	https://www.isca-archive.org/interspeech_2018/knill18_interspeech.pdf
KnillEtAl2019	failed	https://api.repository.cam.ac.uk/server/api/core/bitstreams/e06210f0-f16f-424a-b1be-0ebfbd9007bb/content
ZayatsEtAl2019	downloaded	https://www.isca-archive.org/interspeech_2019/zayats19_interspeech.pdf
Rose2020	downloaded	https://www.isca-archive.org/speechprosody_2020/rose20_speechprosody.pdf
SuzukiKormos2023	downloaded	https://www.cambridge.org/core/services/aop-cambridge-core/content/view/517AD8890EBDEA32B3557891B6D589E8/S0272263121000899a.pdf/the-multidimensionality-of-second-language-oral-fluency-interfacing-cognitive-fluency-and-utterance-fluency.pdf
SuzukiEtAl2021	downloaded	https://eprints.lancs.ac.uk/id/eprint/152963/1/RevisedDraft_MainText_preprint_copy.pdf
deJong2016	downloaded	https://dspace.library.uu.nl/bitstream/handle/1874/338480/_International_Review_of_Applied_Linguistics_in_Language_Teaching_Predicting_pauses_in_L1_and_L2_speech_the_effects_of_utterance_boundaries_and_word_frequency_0A.pdf?isAllowed=y&sequence=1
deJongEtAl2021	failed	https://www.tandfonline.com/doi/pdf/10.1080/0969594X.2021.1951162
deJongWempe2009	downloaded	https://link.springer.com/content/pdf/10.3758/BRM.41.2.385.pdf
Matsuura2022	failed	https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9980148
PlonskyOswald2014	failed	https://onlinelibrary.wiley.com/doi/pdf/10.1111/lang.12079
FosterEtAl2000	failed	https://academic.oup.com/applij/article-pdf/21/3/354/1680574/210354.pdf
DonnerEliasziw1987	failed	https://onlinelibrary.wiley.com/doi/pdf/10.1002/sim.4780060404
LandisKoch1977	failed	https://www.jstor.org/stable/pdf/2529310.pdf
TavakoliSkehan2005	failed	https://benjamins.com/catalog/lllt.11.14tav.pdf
Kormos2006	failed	https://archive.org/download/speech-production-and-second-language-acquisition-kormos-2006/Speech_Production_and_Second_Language_Acquisition_Kormos_2006.pdf
SuzukiRevesz2023	not_pdf	https://www.taylorfrancis.com/books/oa-edit/10.4324/9781003414643/practice-automatization-second-language-research-shungo-suzuki
KnillEtAl2019	failed	https://api.repository.cam.ac.uk/server/api/core/bitstreams/e06210f0-f16f-424a-b1be-0ebfbd9007bb/content (retry with user-agent)
deJongEtAl2021	failed	https://www.tandfonline.com/doi/pdf/10.1080/0969594X.2021.1951162?download=true
Matsuura2022	failed	https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?tp=&arnumber=9980148&ref=
PlonskyOswald2014	failed	https://onlinelibrary.wiley.com/doi/epdf/10.1111/lang.12079
DonnerEliasziw1987	failed	https://onlinelibrary.wiley.com/doi/epdf/10.1002/sim.4780060404
