id;Sentence;Correct_classifications
454;   3204574 # The percentage of students considered proficient in English and math on state tests are now close to the statewide average;non-evaluative
119;   Gas-powered leaf blowers are noisy and bad for the environment. Boston will soon consider what to do about them. # A professional landscaper uses a leaf-blower in a;non-evaluative
355;  - crocodiles and hippos are common in the Zambezi, and they're not exactly considered friendly locals. We know we won't be able to hold any adrenalin junkies;non-evaluative
492;  , and that sex need not lead to marriage. In 1962, this was considered shocking. # The impact of The Pill was even more radical. It meant;evaluative
166;  , Anubhavangal Palichakal, Vazhvemayam and Kadalpalam. # Many of Sethumadhavan's movies are considered landmark and path-breaking. Odayil Ninnu told the story of a rickshaw puller called Pappu;non-evaluative
191;  , as you can see in some of the video clips I reference below. Consider this your warning if you're queasy with blood. Season 2, episode;non-evaluative
374;  , died seven months on from the blaze # Maria del Pilar Burton is now considered the 72nd victim of the fire, despite dying in January after experiencing a stroke;evaluative
4;  , Engr. Rabiu Kwankwaso, National Executive NEC and NWC did not consult and consider the leaders and stakeholders of the party across the state before choosing the new logo;non-evaluative
145;  , however, it may be a better idea to put it off. # Consider the fact that rents are going up steadily across the country. Over the first;non-evaluative
260;  , in the event the whistleblower omits key facts about the alleged fraud. # Consider Options for Resolving Whistleblower Claims # After reviewing the investigation findings of facts and applicable;non-evaluative
316;  , in the recent past. When monies are invested many aspects have to be considered for safety, despite the fact that rates of Interest are very attractive. #;non-evaluative
187;  , peers said. # It comes as the Nationality and Borders Bill is being considered by MPs in the Commons at report stage for a second day before a third;non-evaluative
130;  , people were working for a construction industry or housekeeping service, and they were considered an employee. So, during the time they were employed, taxes were withheld;non-evaluative
469;  , precious metals) have investment trade-offs, and silver's risks are important to consider. # 6. Government today is silver's friend: Amidst global fiscal excess;non-evaluative
485;  , really good, but if you're not ready to spend the money, consider the free alternative, Pastefire (homepage). It's not quite as good;evaluative
281;  , Sean Conley, the president's physician, said Mr. Trump was no longer considered a transmission risk to others but didn't say whether Mr. Trump continues to test;non-evaluative
3;  , there should be no more gathering here or anywhere. Any of such is considered illegal and unlawful since it has been called off and if any of such gathering;evaluative
146;  , too. # For now, with enough complete, it seems time to consider the way the deals that have been completed have changed the NBA power structure,;non-evaluative
436;  , with over 70 per cent of its revenue coming from exports. # When considering exports, many entrepreneurs get worried about different cultures, languages and business practice.;evaluative
